Date,Server_ID,Data_Center_Location,CPU_Utilisation (%),Memory_Utilisation (%),Energy_Consumption_kWh,Temperature_Celsius,PUE,Carbon_Intensity_gCO2/kWh,Total_CO2_kg,Threshold_Breach
2025-06-01,S1,Norway,53.17,38.04,15.76,33.7,1.76,50,0.79,No
2025-06-02,S1,Norway,10.19,65.03,20.37,29.0,1.6,50,1.02,No
2025-06-03,S1,Norway,88.02,74.55,7.69,36.4,1.74,50,0.38,No
2025-06-04,S1,Norway,75.61,73.95,11.15,34.5,1.59,50,0.56,No
2025-06-05,S1,Norway,57.38,35.06,9.45,26.5,1.48,50,0.47,No
2025-06-06,S1,Norway,78.08,75.44,17.28,32.6,1.49,50,0.86,No
2025-06-07,S1,Norway,63.2,77.27,19.82,29.7,1.79,50,0.99,No
2025-06-08,S1,Norway,73.76,39.23,14.24,27.7,1.77,50,0.71,No
2025-06-09,S1,Norway,69.12,49.73,13.12,25.2,1.36,50,0.66,No
2025-06-10,S1,Norway,31.72,44.68,21.05,28.4,1.93,50,1.05,No
2025-06-11,S1,Norway,23.9,59.14,6.77,37.8,1.77,50,0.34,No
2025-06-12,S1,Norway,75.98,54.57,20.86,39.9,1.83,50,1.04,No
2025-06-13,S1,Norway,30.37,77.6,8.22,31.6,1.58,50,0.41,No
2025-06-14,S1,Norway,21.65,45.18,17.98,28.3,1.24,50,0.9,No
2025-06-15,S1,Norway,83.01,41.5,12.84,35.5,1.36,50,0.64,No
2025-06-16,S1,Norway,22.07,22.89,9.62,38.9,1.34,50,0.48,No
2025-06-17,S1,Norway,37.1,80.28,24.72,39.8,1.95,50,1.24,No
2025-06-18,S1,Norway,75.29,20.05,19.33,28.0,1.56,50,0.97,No
2025-06-19,S1,Norway,85.58,52.49,17.52,31.7,1.91,50,0.88,No
2025-06-20,S1,Norway,60.81,20.56,14.46,34.8,1.54,50,0.72,No
2025-06-21,S1,Norway,41.36,83.55,17.13,29.4,1.8,50,0.86,No
2025-06-22,S1,Norway,76.92,80.73,16.82,32.7,1.46,50,0.84,No
2025-06-23,S1,Norway,79.68,48.2,7.29,36.2,1.68,50,0.36,No
2025-06-24,S1,Norway,69.29,75.08,16.79,28.0,1.23,50,0.84,No
2025-06-25,S1,Norway,33.14,79.84,8.89,29.0,1.27,50,0.44,No
2025-06-26,S1,Norway,85.83,22.79,22.51,35.6,1.61,50,1.13,No
2025-06-27,S1,Norway,11.77,40.13,7.14,34.4,1.51,50,0.36,No
2025-06-28,S1,Norway,16.06,71.36,10.79,37.7,1.89,50,0.54,No
2025-06-29,S1,Norway,52.79,45.49,13.69,34.9,1.34,50,0.68,No
2025-06-30,S1,Norway,35.89,64.83,19.17,29.6,1.95,50,0.96,No
2025-06-01,S2,Ireland,45.87,54.92,19.35,30.2,1.27,250,4.84,No
2025-06-02,S2,Ireland,55.78,68.82,22.12,25.0,1.86,250,5.53,No
2025-06-03,S2,Ireland,66.4,66.37,20.26,28.0,1.81,250,5.07,No
2025-06-04,S2,Ireland,34.14,45.26,7.24,34.1,1.6,250,1.81,No
2025-06-05,S2,Ireland,26.95,60.39,23.93,33.3,1.74,250,5.98,No
2025-06-06,S2,Ireland,34.5,63.9,21.05,34.5,1.63,250,5.26,No
2025-06-07,S2,Ireland,11.3,75.25,14.64,32.2,1.87,250,3.66,No
2025-06-08,S2,Ireland,20.62,63.81,16.01,28.2,1.27,250,4.0,No
2025-06-09,S2,Ireland,45.82,22.57,14.15,32.7,1.69,250,3.54,No
2025-06-10,S2,Ireland,37.01,69.92,7.02,36.5,1.72,250,1.75,No
2025-06-11,S2,Ireland,75.04,50.21,10.85,26.4,1.86,250,2.71,No
2025-06-12,S2,Ireland,21.22,21.05,12.27,35.8,1.3,250,3.07,No
2025-06-13,S2,Ireland,86.3,79.01,15.59,38.9,1.44,250,3.9,No
2025-06-14,S2,Ireland,84.01,42.93,9.87,36.8,1.51,250,2.47,No
2025-06-15,S2,Ireland,63.03,81.13,12.32,37.8,1.76,250,3.08,No
2025-06-16,S2,Ireland,89.47,84.16,23.75,25.4,1.76,250,5.94,No
2025-06-17,S2,Ireland,87.69,38.65,8.98,35.9,1.46,250,2.25,No
2025-06-18,S2,Ireland,10.89,42.73,8.95,29.5,1.5,250,2.24,No
2025-06-19,S2,Ireland,64.18,91.55,20.52,26.8,1.37,250,5.13,No
2025-06-20,S2,Ireland,13.17,42.57,10.11,32.6,1.42,250,2.53,No
2025-06-21,S2,Ireland,22.6,66.22,15.99,38.1,1.86,250,4.0,No
2025-06-22,S2,Ireland,43.41,22.82,16.55,35.1,1.33,250,4.14,No
2025-06-23,S2,Ireland,77.91,51.22,17.5,33.7,1.21,250,4.38,No
2025-06-24,S2,Ireland,41.23,22.02,7.57,37.6,1.67,250,1.89,No
2025-06-25,S2,Ireland,63.34,33.87,5.78,30.2,1.66,250,1.45,No
2025-06-26,S2,Ireland,53.73,40.46,11.62,34.8,1.4,250,2.9,No
2025-06-27,S2,Ireland,27.26,77.65,5.13,31.4,1.5,250,1.28,No
2025-06-28,S2,Ireland,88.93,68.55,15.34,25.1,1.77,250,3.83,No
2025-06-29,S2,Ireland,71.81,67.92,7.06,33.7,1.57,250,1.76,No
2025-06-30,S2,Ireland,80.32,84.53,15.39,27.0,1.89,250,3.85,No
2025-06-01,S3,Ireland,57.53,25.06,6.91,25.5,1.34,250,1.73,No
2025-06-02,S3,Ireland,62.72,57.16,15.21,25.0,1.97,250,3.8,No
2025-06-03,S3,Ireland,62.56,22.36,11.99,39.3,1.74,250,3.0,No
2025-06-04,S3,Ireland,75.61,30.57,10.24,28.8,1.93,250,2.56,No
