Date,Server_ID,Data_Center_Location,CPU_Utilisation (%),Memory_Utilisation (%),Energy_Consumption_kWh,Temperature_Celsius,PUE,Carbon_Intensity_gCO2/kWh,Total_CO2_kg,Threshold_Breach,Latitude,Longitude,Time,DateTime
2025-06-01,S1,Norway,53.17,38.04,15.76,33.7,1.76,50,0.79,No,60.472,8.4689,00:00:00,2025-06-01 00:00:00
2025-06-01,S11,Norway,19.68,23.64,6.52,36.7,1.45,50,0.33,No,60.472,8.4689,00:15:00,2025-06-01 00:15:00
2025-06-01,S6,Norway,38.55,62.91,22.88,27.2,1.48,50,1.14,No,60.472,8.4689,00:30:00,2025-06-01 00:30:00
2025-06-01,S2,Ireland,45.87,54.92,19.35,30.2,1.27,250,4.84,No,53.1424,-7.6921,00:45:00,2025-06-01 00:45:00
2025-06-01,S3,Ireland,57.53,25.06,6.91,25.5,1.34,250,1.73,No,53.1424,-7.6921,01:00:00,2025-06-01 01:00:00
2025-06-01,S9,Ireland,67.6,90.75,13.5,35.0,1.34,250,3.38,No,53.1424,-7.6921,01:15:00,2025-06-01 01:15:00
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No,53.1424,-7.6921,01:30:00,2025-06-01 01:30:00
2025-06-01,S5,Germany,70.71,29.47,14.36,30.8,1.33,350,5.03,No,51.1657,10.4515,01:45:00,2025-06-01 01:45:00
2025-06-01,S3,Ireland,57.53,25.06,6.91,25.5,1.34,250,1.73,No,53.1424,-7.6921,02:00:00,2025-06-01 02:00:00
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No,53.1424,-7.6921,02:15:00,2025-06-01 02:15:00
2025-06-01,S6,Norway,38.55,62.91,22.88,27.2,1.48,50,1.14,No,60.472,8.4689,02:30:00,2025-06-01 02:30:00
2025-06-01,S3,Ireland,57.53,25.06,6.91,25.5,1.34,250,1.73,No,53.1424,-7.6921,02:45:00,2025-06-01 02:45:00
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No,53.1424,-7.6921,03:00:00,2025-06-01 03:00:00
2025-06-01,S15,Germany,24.29,73.01,20.83,32.1,1.59,350,7.29,No,51.1657,10.4515,03:15:00,2025-06-01 03:15:00
2025-06-01,S6,Norway,38.55,62.91,22.88,27.2,1.48,50,1.14,No,60.472,8.4689,03:30:00,2025-06-01 03:30:00
2025-06-01,S13,Norway,76.7,39.61,9.16,28.7,1.25,50,0.46,No,60.472,8.4689,03:45:00,2025-06-01 03:45:00
2025-06-01,S8,Germany,58.9,27.25,22.44,36.1,1.77,350,7.85,No,51.1657,10.4515,04:00:00,2025-06-01 04:00:00
2025-06-01,S10,Germany,39.29,69.2,8.11,31.4,1.4,350,2.84,No,51.1657,10.4515,04:15:00,2025-06-01 04:15:00
2025-06-01,S5,Germany,70.71,29.47,14.36,30.8,1.33,350,5.03,No,51.1657,10.4515,04:30:00,2025-06-01 04:30:00
2025-06-01,S2,Ireland,45.87,54.92,19.35,30.2,1.27,250,4.84,No,53.1424,-7.6921,04:45:00,2025-06-01 04:45:00
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No,53.1424,-7.6921,05:00:00,2025-06-01 05:00:00
2025-06-01,S13,Norway,76.7,39.61,9.16,28.7,1.25,50,0.46,No,60.472,8.4689,05:15:00,2025-06-01 05:15:00
2025-06-01,S14,Ireland,39.55,56.27,18.35,35.3,1.98,250,4.59,No,53.1424,-7.6921,05:30:00,2025-06-01 05:30:00
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No,53.1424,-7.6921,05:45:00,2025-06-01 05:45:00
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No,53.1424,-7.6921,06:00:00,2025-06-01 06:00:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,06:15:00,2025-06-01 06:15:00
2025-06-01,S7,Germany,78.7,46.74,7.93,25.5,1.83,350,2.78,No,51.1657,10.4515,06:30:00,2025-06-01 06:30:00
2025-06-01,S4,Ireland,84.49,58.55,6.45,25.2,1.25,250,1.61,No,53.1424,-7.6921,06:45:00,2025-06-01 06:45:00
2025-06-01,S11,Norway,19.68,23.64,6.52,36.7,1.45,50,0.33,No,60.472,8.4689,07:00:00,2025-06-01 07:00:00
2025-06-01,S9,Ireland,67.6,90.75,13.5,35.0,1.34,250,3.38,No,53.1424,-7.6921,07:15:00,2025-06-01 07:15:00
2025-06-01,S13,Norway,76.7,39.61,9.16,28.7,1.25,50,0.46,No,60.472,8.4689,07:30:00,2025-06-01 07:30:00
2025-06-01,S3,Ireland,57.53,25.06,6.91,25.5,1.34,250,1.73,No,53.1424,-7.6921,07:45:00,2025-06-01 07:45:00
2025-06-01,S15,Germany,24.29,73.01,20.83,32.1,1.59,350,7.29,No,51.1657,10.4515,08:00:00,2025-06-01 08:00:00
2025-06-01,S14,Ireland,39.55,56.27,18.35,35.3,1.98,250,4.59,No,53.1424,-7.6921,08:15:00,2025-06-01 08:15:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,08:30:00,2025-06-01 08:30:00
2025-06-01,S3,Ireland,57.53,25.06,6.91,25.5,1.34,250,1.73,No,53.1424,-7.6921,08:45:00,2025-06-01 08:45:00
2025-06-01,S13,Norway,76.7,39.61,9.16,28.7,1.25,50,0.46,No,60.472,8.4689,09:00:00,2025-06-01 09:00:00
2025-06-01,S1,Norway,53.17,38.04,15.76,33.7,1.76,50,0.79,No,60.472,8.4689,09:15:00,2025-06-01 09:15:00
2025-06-01,S1,Norway,53.17,38.04,15.76,33.7,1.76,50,0.79,No,60.472,8.4689,09:30:00,2025-06-01 09:30:00
2025-06-01,S6,Norway,38.55,62.91,22.88,27.2,1.48,50,1.14,No,60.472,8.4689,09:45:00,2025-06-01 09:45:00
2025-06-01,S6,Norway,38.55,62.91,22.88,27.2,1.48,50,1.14,No,60.472,8.4689,10:00:00,2025-06-01 10:00:00
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No,60.472,8.4689,10:15:00,2025-06-01 10:15:00
2025-06-01,S14,Ireland,39.55,56.27,18.35,35.3,1.98,250,4.59,No,53.1424,-7.6921,10:30:00,2025-06-01 10:30:00
